"plan_wid","plan_name","plan_inactive_flag","plan_step_wid","plan_step_order","plan_step_type","step_guid","step_wid","step_cmd","step_name"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","4F418CAB76FCD515C5A7F3C94D552CF","0","REGULAR","4F418CAB76FCD515C5A7F3C94D552CF","1911f67f35d9a487283f503fc7ab2ac","SDE_ORA_EmployeeDailySnapshotFact_2","SDE_ORA_EmployeeDailySnapshotFact_2"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","D1A6418BA9B721A3282ECC5948E8866D","0","REGULAR","","15cf56791e1279889d61b836271199a","SDE_ORA_EmployeeDailySnapshotFact_3","SDE_ORA_EmployeeDailySnapshotFact_3"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","C4FA37D5638DC49425B9A3E8572EF1","0","REGULAR","","17d561355624ced1967afc8fb7a1836e","SDE_ORA_EmployeeDailySnapshotFact_4","SDE_ORA_EmployeeDailySnapshotFact_4"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","C1CB82CC89178BE3424CEE1896ED","0","REGULAR","","88818EC577E3BDEA5FAF5D56ED6E8442","","TASK_GROUP_Extract_EmployeeDailySnapshotFact_Performance_Review"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","C9EA5C489D4F8CE8B019A694E906B6B","1","REGULAR","","6bcdbdd6812a9ea517908ca566436fb","SDE_ORA_EmployeeDailySnapshotFact_1","SDE_ORA_EmployeeDailySnapshotFact_1"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","743C7FED4E93373BF741E35ACCC2FB","1","REGULAR","","3e589d7525743f1159f9aef6d26dfb6d","SDE_ORA_EmployeeDailySnapshotFact_PerformanceReview","SDE_ORA_EmployeeDailySnapshotFact_PerformanceReview"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","352497EEA2C3B9CC108AA6D1C1D461","2","REGULAR","","cddaf55424eff460187a8840ba81641","SDE_ORA_EmployeeDailySnapshotFact_1_Update","SDE_ORA_EmployeeDailySnapshotFact_1_Update"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","453CB6AF9425B92F9830964A1BD6B2F8","3","REGULAR","","8049dfe7391b73f4b03f91685796a525","SDE_ORA_EmployeeDailySnapshotFact","SDE_ORA_EmployeeDailySnapshotFact"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","9228D527E27845B78E5B48C8AEAE7DFE","4","REGULAR","","66477cb62a1282f18536b1d9f122ee","SIL_EmployeeDailySnapshotFact","SIL_EmployeeDailySnapshotFact"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","5A2C48922673BCBD13A6AC9FD9D5706E","5","REGULAR","","bbaaf446a81097abce5777bc8e2b3758","PLP_EmployeeDailySnapshot_Trim","PLP_EmployeeDailySnapshot_Trim"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","204D231DD873B5DC5D98B4FF19A44","6","REGULAR","","ec9246fcfbd49fa8461395e99a4fd96","PLP_EmployeeMonthlySnapshot","PLP_EmployeeMonthlySnapshot"
"201C9CC7C59D167A79A2E247C6189A67","Echo Employee Snapshot Oracle R12.1.3","N","FB94D4D373A1D3CA21DF824CCF1399C","7","CREATE_QUERY_INDEXES","","B98CE2F63BF4286ED30AB9FEC9C686","QUERY_INDEX_CREATION","QUERY_INDEX_CREATION"
